Drużyna,ID drużyny
France,0
Somalia,1
French Guiana,2
Vanuatu,3
Barbados,4
Western Armenia,5
Hitra,6
United Koreans in Japan,7
South Africa,8
Thailand,9
Curaçao,10
Estonia,11
Orkney,12
Cuba,13
Menorca,14
Paraguay,15
Hungary,16
Mauritania,17
Tanzania,18
Venezuela,19
Vietnam,20
Morocco,21
Kenya,22
Zimbabwe,23
Slovakia,24
Malaysia,25
Spain,26
India,27
Aruba,28
Puerto Rico,29
Romania,30
Saudi Arabia,31
Italy,32
Jamaica,33
Canada,34
Singapore,35
China,36
Turkey,37
Georgia,38
Basque Country,39
Finland,40
Equatorial Guinea,41
Honduras,42
Czech Republic,43
Ellan Vannin,44
Guatemala,45
Yugoslavia,46
Zanzibar,47
Åland Islands,48
Burkina Faso,49
Cambodia,50
Greece,51
Cascadia,52
Sápmi,53
Syria,54
Åland,55
Ghana,56
Raetia,57
Chad,58
Martinique,59
Denmark,60
Iran,61
Myanmar,62
Czechoslovakia,63
Egypt,64
Togo,65
Senegal,66
Colombia,67
Sudan,68
South Korea,69
Abkhazia,70
Kazakhstan,71
Vietnam Republic,72
Papua New Guinea,73
Republic of Ireland,74
Cyprus,75
Kabylia,76
Gabon,77
Namibia,78
Zambia,79
Kuwait,80
Greenland,81
Antigua and Barbuda,82
El Salvador,83
Gambia,84
Haiti,85
Costa Rica,86
Poland,87
England,88
Armenia,89
Padania,90
Guyana,91
Tajikistan,92
Gibraltar,93
Serbia,94
British Virgin Islands,95
Northern Cyprus,96
Ecuador,97
Alderney,98
Provence,99
Cape Verde,100
Andorra,101
Jersey,102
Fiji,103
Székely Land,104
Occitania,105
Iraqi Kurdistan,106
Trinidad and Tobago,107
Northern Ireland,108
Western Isles,109
Sealand,110
Sierra Leone,111
Matabeleland,112
Panama,113
Peru,114
Tibet,115
Portugal,116
Liberia,117
Oman,118
Sri Lanka,119
Chameria,120
Iceland,121
Tunisia,122
Croatia,123
County of Nice,124
Saare County,125
Mozambique,126
Bangladesh,127
Libya,128
Moldova,129
Iraq,130
North Korea,131
Central African Republic,132
Israel,133
Benin,134
New Zealand,135
Switzerland,136
Angola,137
Mauritius,138
Latvia,139
Ukraine,140
Slovenia,141
Algeria,142
Guinea-Bissau,143
Austria,144
Corsica,145
Ivory Coast,146
Lesotho,147
Indonesia,148
Madagascar,149
Australia,150
Uganda,151
Saint Lucia,152
Kárpátalja,153
Uruguay,154
Russia,155
Uzbekistan,156
Bolivia,157
Brazil,158
New Caledonia,159
Bulgaria,160
Bosnia and Herzegovina,161
Mali,162
Qatar,163
Botswana,164
Panjab,165
Belarus,166
Grenada,167
Hong Kong,168
Guernsey,169
Lebanon,170
Saint Kitts and Nevis,171
Seychelles,172
Netherlands,173
Ynys Môn,174
United States,175
Argentina,176
China PR,177
North Macedonia,178
South Ossetia,179
Japan,180
Chagos Islands,181
Guadeloupe,182
Solomon Islands,183
Ethiopia,184
Falkland Islands,185
Nigeria,186
Chile,187
Djibouti,188
Eswatini,189
Mexico,190
Cameroon,191
Rwanda,192
Burundi,193
Felvidék,194
Jordan,195
Malawi,196
Taiwan,197
Belgium,198
Sint Maarten,199
Isle of Man,200
Maldives,201
Congo,202
United Arab Emirates,203
Niger,204
Guinea,205
Lithuania,206
Bahrain,207
DR Congo,208
Sweden,209
Suriname,210
Germany,211
Scotland,212
